place_external_id,category_slug,is_primary
greatlist-msk-restaurant-sakhli,city_cafe,true
greatlist-msk-restaurant-zhazhda-krovi,restaurant,true
greatlist-msk-restaurant-kazbek,restaurant,true
greatlist-msk-restaurant-ikura,restaurant,true
greatlist-msk-restaurant-the-bix,bar,true
greatlist-msk-restaurant-white-rabbit,fine_dining,true
greatlist-msk-restaurant-community,bar,true
greatlist-msk-restaurant-sakhalin,fine_dining,true
greatlist-msk-restaurant-rybtorg,restaurant,true
greatlist-msk-restaurant-padron,restaurant,true
greatlist-msk-restaurant-krasota,fine_dining,true
greatlist-msk-restaurant-za-kryshej,restaurant,true
greatlist-msk-restaurant-severyane,restaurant,true
greatlist-msk-restaurant-veladora,bar,true
greatlist-msk-restaurant-ajna,restaurant,true
greatlist-msk-restaurant-maritozzo,fine_dining,true
greatlist-msk-restaurant-musya-i-vtoroe,city_cafe,true
greatlist-msk-restaurant-regent,fine_dining,true
greatlist-msk-restaurant-pushkin,fine_dining,true
greatlist-msk-restaurant-dich,restaurant,true
greatlist-msk-restaurant-biwon,fine_dining,true
greatlist-msk-restaurant-mama-tuta,restaurant,true
greatlist-msk-restaurant-chefs-table,fine_dining,true
greatlist-msk-restaurant-lucky-izakaya-bar,restaurant,true
greatlist-msk-restaurant-bagebi,restaurant,true
greatlist-msk-restaurant-ikra,fine_dining,true
greatlist-msk-restaurant-sangre-fresca,bar,true
greatlist-msk-restaurant-jun,restaurant,true
greatlist-msk-restaurant-075-please,restaurant,true
greatlist-msk-restaurant-eva-belorusskaya,restaurant,true
greatlist-msk-restaurant-eva-khamovniki,restaurant,true
greatlist-msk-restaurant-ku-belorusskaya,city_cafe,true
greatlist-msk-restaurant-ku-smolenskaya,city_cafe,true
greatlist-msk-restaurant-ku-moscow-city,city_cafe,true
afisha-msk-lao-lee-cafe-75769,city_cafe,true
afisha-msk-vinnyi-bazar-na-komsomolskom-47066,bar,true
afisha-msk-lumberjack-bar-40916,bar,true
afisha-msk-scrocchiarella-197026,city_cafe,true
afisha-msk-butcher-35598,restaurant,true
afisha-msk-lepim-i-varim-151585,city_cafe,true
afisha-msk-mitzva-bar-61187,bar,true
afisha-msk-touche-173760,bar,true
afisha-msk-zodiac-44602,restaurant,true
afisha-msk-kitaiskaia-gramota-45415,restaurant,true
afisha-msk-natakhtari-na-maroseike-47865,city_cafe,true
afisha-msk-bo-174563,city_cafe,true
afisha-msk-moscow-delhi-218632,city_cafe,true
afisha-msk-rynok-i-obshchepit-270147,city_cafe,true
afisha-msk-black-swan-pub-442960,bar,true
afisha-msk-burger-heroes-77344,city_cafe,true
afisha-msk-mr-livanets-75771,restaurant,true
afisha-msk-darbazi-42305,restaurant,true
afisha-msk-km20-385754,restaurant,true
afisha-msk-fruits-veges-44899,city_cafe,true
afisha-msk-maestrello-353417,city_cafe,true
afisha-msk-true-cost-nikuda-ne-edem-48805,restaurant,true
afisha-msk-cutfish-218554,restaurant,true
afisha-msk-rico-44190,restaurant,true
afisha-msk-tehnikum-259792,bar,true
afisha-msk-twins-garden-386019,restaurant,true
afisha-msk-oblomov-16671,restaurant,true
afisha-msk-ryba-moia-421793,restaurant,true
afisha-msk-semifreddo-16592,restaurant,true
afisha-msk-chaikovskii-32591,city_cafe,true
afisha-msk-hong-kong-349230,restaurant,true
afisha-msk-molon-lave-48558,restaurant,true
afisha-msk-druzhba-23228,city_cafe,true
afisha-msk-ierusalim-26774,restaurant,true
afisha-msk-moloko-35622,coffee,true
afisha-msk-turandot-20223,restaurant,true
afisha-msk-dizengof-99-409047,city_cafe,true
afisha-msk-laffa-laffa-48564,city_cafe,true
afisha-msk-ugolek-44508,bar,true
afisha-msk-chikho-349989,city_cafe,true
afisha-msk-bambule-421874,bar,true
afisha-msk-mandys-apothecary-irish-pub-218824,bar,true
afisha-msk-pizza-22-cm-442043,city_cafe,true
afisha-msk-gayanes-34654,restaurant,true
afisha-msk-probka-na-tsvetnom-35781,restaurant,true
afisha-msk-ottepel-218807,restaurant,true
afisha-msk-farsh-61072,city_cafe,true
afisha-msk-katie-osheas-28973,bar,true
afisha-msk-meat-me-174609,city_cafe,true
afisha-msk-sean-oneill-312225,bar,true
afisha-msk-steak-it-easy-350330,restaurant,true
afisha-msk-tap-barrel-pub-48411,restaurant,true
afisha-msk-the-tipsy-pub-139409,bar,true
afisha-msk-tilda-food-bar-375104,bar,true
afisha-msk-vinnyi-bazar-na-nikitskom-259757,bar,true
afisha-msk-klevo-348804,restaurant,true
afisha-msk-konor-mak-nessa-32750,restaurant,true
afisha-msk-taras-bulba-30679,restaurant,true
afisha-msk-odzhakhuri-151381,restaurant,true
afisha-msk-starik-i-more-458978,restaurant,true
afisha-msk-elardzhi-28501,restaurant,true
afisha-msk-jpan-442775,city_cafe,true
afisha-msk-wine-crab-311202,restaurant,true
afisha-msk-voronezh-77311,restaurant,true
afisha-msk-vse-tvoi-druzia-47491,bar,true
afisha-msk-rybnyi-bazar-18519,restaurant,true
afisha-msk-khon-gil-don-59461,bar,true
afisha-msk-erwin-rekamoreokean-196603,restaurant,true
afisha-msk-margarita-bistro-385863,restaurant,true
afisha-msk-megumi-30220,restaurant,true
afisha-msk-parisienne-20486,restaurant,true
afisha-msk-rule-taproom-76419,bar,true
afisha-msk-sempre-351911,restaurant,true
afisha-msk-13deg-175835,bar,true
afisha-msk-jacky-jacky-gastrobar-75320,bar,true
afisha-msk-modus-24757,restaurant,true
afisha-msk-pinch-59196,restaurant,true
afisha-msk-torro-grill-27907,restaurant,true
afisha-msk-babel-46969,restaurant,true
afisha-msk-est-khinkali-pit-vino-174398,restaurant,true
afisha-msk-neon-monkey-421955,bar,true
afisha-msk-ramen-483107,restaurant,true
afisha-msk-the-bix-bar-and-legend-442596,bar,true
afisha-msk-villa-della-pasta-44353,restaurant,true
afisha-msk-mari-vanna-24856,restaurant,true
afisha-msk-sosna-i-lipa-60505,bar,true
afisha-msk-sup-kafe-23276,city_cafe,true
afisha-msk-iu-me-20581,restaurant,true
afisha-msk-o2-restaurant-25457,restaurant,true
afisha-msk-sally-obriens-16675,bar,true
afisha-msk-sirena-20481,restaurant,true
afisha-msk-bakinskii-bulvar-28960,restaurant,true
afisha-msk-belgiiskaia-brasseri-033-48999,restaurant,true
afisha-msk-strelka-29786,bar,true
afisha-msk-khinkalnaia-na-neglinnoi-31960,city_cafe,true
afisha-msk-zheraldin-352494,restaurant,true
afisha-msk-il-forno-29434,restaurant,true
afisha-msk-druzhba-22444,restaurant,true
afisha-msk-tsytsyla-36020,restaurant,true
afisha-msk-buono-29753,restaurant,true
afisha-msk-starlite-diner-18619,city_cafe,true
afisha-msk-petrov-i-vasechka-60337,bar,true
afisha-msk-khishchnik-steaks-burgers-314442,city_cafe,true
afisha-msk-bro-n-352236,restaurant,true
afisha-msk-kafe-muzeia-garazh-73798,coffee,true
afisha-msk-buiabes-17371,restaurant,true
afisha-msk-ryby-net-151051,restaurant,true
afisha-msk-didi-346479,restaurant,true
afisha-msk-voronezh-zakusochnaia-i-miasnaia-lavka-140281,bar,true
afisha-msk-zhan-zhak-20387,city_cafe,true
afisha-msk-moskovskoe-nebo-174446,restaurant,true
afisha-msk-tsarskaia-okhota-20439,restaurant,true
afisha-msk-tsdl-45701,restaurant,true
afisha-msk-bamboobar-29554,restaurant,true
afisha-msk-buba-by-sumosan-47375,restaurant,true
afisha-msk-beloe-solntse-pustyni-20482,restaurant,true
afisha-msk-belfast-23230,restaurant,true
afisha-msk-krabykutaby-458318,restaurant,true
afisha-msk-porto-mikonos-259661,restaurant,true
afisha-msk-el-gaucho-20207,restaurant,true
afisha-msk-tutto-bene-29184,restaurant,true
afisha-msk-ess-thetik-39700,city_cafe,true
afisha-msk-ribambelle-green-46934,restaurant,true
afisha-msk-sixty-33286,restaurant,true
afisha-msk-bolshoi-28017,restaurant,true
afisha-msk-vizir-makhallia-graf-orlov-31932,restaurant,true
afisha-msk-dom-kultur-458903,restaurant,true
afisha-msk-kitaiskaia-gramota-v-barvikhe-87480,restaurant,true
afisha-msk-chemodan-33086,restaurant,true
afisha-msk-baccarat-cristal-room-24557,restaurant,true
afisha-msk-craft-republic-48886,bar,true
afisha-msk-steak-it-easy-346782,restaurant,true
afisha-msk-ekspeditsiia-severnaia-kukhnia-22372,restaurant,true
afisha-msk-lions-head-pub-197317,bar,true
afisha-msk-u-pirosmani-22384,restaurant,true
afisha-msk-novikov-40192,restaurant,true
afisha-msk-aist-16218,restaurant,true
afisha-msk-kitaiskie-novosti-59506,restaurant,true
afisha-msk-ruski-346597,restaurant,true
afisha-msk-gastrotsentr-zariade-374940,restaurant,true
afisha-msk-goodman-43873,restaurant,true
afisha-msk-sumosan-22240,restaurant,true
afisha-msk-cherchill-22258,bar,true
afisha-msk-bocconcino-44950,restaurant,true
afisha-msk-uhvat-409011,restaurant,true
afisha-msk-sanduny-20368,restaurant,true
afisha-msk-el-gauchito-32503,restaurant,true
afisha-msk-blush-wine-bar-442604,bar,true
afisha-msk-sandyk-21141,restaurant,true
afisha-msk-fud-moll-depo-moskva-458381,restaurant,true
afisha-msk-800degc-contemporary-steak-406665,restaurant,true
afisha-msk-tiflisskii-dvorik-22585,restaurant,true
afisha-msk-officina-442976,restaurant,true
afisha-msk-voskhod-375072,restaurant,true
afisha-msk-12-493761,restaurant,true
afisha-msk-39-pizzeria-mozzarella-494803,restaurant,true
afisha-msk-39-trattoria-pizzeria-496874,restaurant,true
afisha-msk-6-am-bread-kitchen-518775,restaurant,true
afisha-msk-abbey-players-487846,bar,true
afisha-msk-abc-coffee-roasters-1601662,coffee,true
afisha-msk-alaska-pool-club-1600647,restaurant,true
afisha-msk-amber-496691,restaurant,true
afisha-msk-angel-cakes-494778,restaurant,true
afisha-msk-angel-cakes-493356,restaurant,true
afisha-msk-assunta-madre-407130,restaurant,true
afisha-msk-atelier-de-tartelettes-481923,restaurant,true
afisha-msk-atlantica-seafood-496782,restaurant,true
afisha-msk-ava-cafe-494267,restaurant,true
afisha-msk-aviv-348292,restaurant,true
afisha-msk-avrora-518879,restaurant,true
afisha-msk-ayu-508250,restaurant,true
afisha-msk-bambini-bar-507755,restaurant,true
afisha-msk-barbaresco-1600782,restaurant,true
afisha-msk-bigati-bar-456534,bar,true
afisha-msk-bijou-495578,bar,true
afisha-msk-billie-1600038,restaurant,true
afisha-msk-biologie-494087,bar,true
afisha-msk-black-hat-442357,bar,true
afisha-msk-bluefin-495243,restaurant,true
afisha-msk-bolognetta-375054,restaurant,true
afisha-msk-brasserie-20-select-1600563,restaurant,true
afisha-msk-brodo-493466,bar,true
afisha-msk-bruxelles-495646,restaurant,true
afisha-msk-bshushu-496998,restaurant,true
afisha-msk-buffet-490885,bar,true
afisha-msk-cafeteria-de-madre-1600740,city_cafe,true
afisha-msk-capito-cafe-481902,restaurant,true
afisha-msk-carniceria-vino-519032,restaurant,true
afisha-msk-caspian-494239,restaurant,true
afisha-msk-centrale-bistro-1600625,restaurant,true
afisha-msk-chere-maman-1600843,city_cafe,true
afisha-msk-chow-chow-496580,city_cafe,true
afisha-msk-coba-494319,restaurant,true
afisha-msk-connolly-station-346443,bar,true
afisha-msk-coperto-493030,restaurant,true
afisha-msk-corner-cafe-kitchen-483093,restaurant,true
afisha-msk-dacha-496417,restaurant,true
afisha-msk-dachniki-518987,restaurant,true
afisha-msk-komediia-del-arte-494829,city_cafe,true
afisha-msk-dizengof-99-493790,city_cafe,true
afisha-msk-dizengof-99-497029,city_cafe,true
afisha-msk-dizengof-99-518933,city_cafe,true
afisha-msk-dizengof-99-1600557,city_cafe,true
afisha-msk-dizengof-99-1600901,city_cafe,true
afisha-msk-dogs-in-the-fog-494831,bar,true
afisha-msk-dolce-far-niente-485298,restaurant,true
afisha-msk-eggsellent-493707,city_cafe,true
afisha-msk-eggsellent-508203,city_cafe,true
afisha-msk-el-pimpi-1600210,restaurant,true
afisha-msk-erwin-patriki-pavilon-prud-496448,restaurant,true
afisha-msk-escapist-518504,bar,true
afisha-msk-eshak-60050,restaurant,true
afisha-msk-ester-bistro-496686,bar,true
afisha-msk-eva-490011,restaurant,true
afisha-msk-everest-continental-508186,restaurant,true
afisha-msk-everest-siberia-1600266,restaurant,true
afisha-msk-finch-coffee-495238,city_cafe,true
afisha-msk-finch-1600528,city_cafe,true
afisha-msk-finch-1601487,city_cafe,true
afisha-msk-fiorentini-518922,restaurant,true
afisha-msk-fitz-gin-bar-519093,bar,true
afisha-msk-flaner-493827,restaurant,true
afisha-msk-frankie-pizza-493838,city_cafe,true
afisha-msk-from-berlin-494870,city_cafe,true
afisha-msk-grande-osteria-496447,restaurant,true
afisha-msk-hachiko-490688,bar,true
afisha-msk-hands-asian-494771,restaurant,true
afisha-msk-hands-493138,restaurant,true
afisha-msk-hanky-37-518503,bar,true
afisha-msk-happy-end-bar-kitchen-442156,bar,true
afisha-msk-hedonist-494552,restaurant,true
afisha-msk-hibiki-493400,restaurant,true
afisha-msk-high-bar-483369,bar,true
afisha-msk-holi-yoga-cafe-492758,city_cafe,true
afisha-msk-holi-yoga-cafe-518488,city_cafe,true
afisha-msk-iggy-pub-410435,bar,true
afisha-msk-ikra-moskva-496999,restaurant,true
afisha-msk-il-forno-46769,restaurant,true
afisha-msk-iliadis-456606,restaurant,true
afisha-msk-il-matto-507917,restaurant,true
afisha-msk-inout-1600229,restaurant,true
afisha-msk-ivanka-507507,restaurant,true
afisha-msk-jamaa-1601024,restaurant,true
afisha-msk-jinju-bistro-1600110,city_cafe,true
afisha-msk-jooie-1600280,city_cafe,true
afisha-msk-jz-peking-duck-487761,restaurant,true
afisha-msk-kalabasa-454952,restaurant,true
afisha-msk-kalinka-na-neglinke-1600259,restaurant,true
afisha-msk-kamel-smash-burger-1600842,city_cafe,true
afisha-msk-kefi-508080,restaurant,true
afisha-msk-kiosk-1936-495870,city_cafe,true
afisha-msk-kiyomi-519043,restaurant,true
afisha-msk-krombacher-beer-kitchen-482412,restaurant,true
afisha-msk-ku-ramen-izakaia-bar-470312,city_cafe,true
afisha-msk-lac-bistrot-1601025,restaurant,true
afisha-msk-la-mortazza-1600542,city_cafe,true
afisha-msk-lea-518992,bar,true
afisha-msk-leo-1600039,restaurant,true
afisha-msk-leps-1601026,restaurant,true
afisha-msk-levantine-fire-cuisine-bar-487175,bar,true
afisha-msk-lila-pastry-493855,restaurant,true
afisha-msk-limbo-1601211,city_cafe,true
afisha-msk-littles-kids-play-cafe-469661,city_cafe,true
afisha-msk-loomi-507451,restaurant,true
afisha-msk-loona-496473,restaurant,true
afisha-msk-louis-the-claw-508413,bar,true
afisha-msk-lumicino-495356,restaurant,true
afisha-msk-luwo-518614,restaurant,true
afisha-msk-maddittoni-1601090,city_cafe,true
afisha-msk-madison-493897,restaurant,true
afisha-msk-malevich-494960,city_cafe,true
afisha-msk-mandys-494232,city_cafe,true
afisha-msk-mansard-restaurant-hall-490506,restaurant,true
afisha-msk-manul-518599,restaurant,true
afisha-msk-maroon-494262,restaurant,true
afisha-msk-masters-margaritas-491765,bar,true
afisha-msk-mates-bistro-1600733,city_cafe,true
afisha-msk-mates-bistro-1600910,city_cafe,true
afisha-msk-mates-494057,coffee,true
afisha-msk-maya-495617,restaurant,true
afisha-msk-meat-coin-495350,restaurant,true
afisha-msk-meetino-507865,restaurant,true
afisha-msk-megobari-410581,restaurant,true
afisha-msk-meraki-507506,restaurant,true
afisha-msk-meteorite-518946,city_cafe,true
afisha-msk-michael-collins-pub-456273,bar,true
afisha-msk-midsummer-507508,city_cafe,true
afisha-msk-misha-fisher-in-jaffa-494687,city_cafe,true
afisha-msk-mission-490691,bar,true
afisha-msk-moro-507873,restaurant,true
afisha-msk-motto-azabu-1601409,restaurant,true
afisha-msk-mouflon-496813,restaurant,true
afisha-msk-mr-help-friends-1601366,bar,true
afisha-msk-mume-508016,restaurant,true
afisha-msk-narnia-507819,restaurant,true
afisha-msk-nene-1600301,restaurant,true
afisha-msk-no-13-restaurant-488482,restaurant,true
afisha-msk-nothing-fancy-518796,city_cafe,true
afisha-msk-nothing-fancy-1601052,city_cafe,true
afisha-msk-nouge-518932,bar,true
afisha-msk-nove-1600516,restaurant,true
afisha-msk-odonoghues-314838,restaurant,true
afisha-msk-oshi-izakaya-518611,restaurant,true
afisha-msk-oshi-izakaya-emperor-518969,restaurant,true
afisha-msk-osso-1600188,restaurant,true
afisha-msk-amici-486615,restaurant,true
afisha-msk-ovo-313710,restaurant,true
afisha-msk-oxus-315700,restaurant,true
afisha-msk-parka-1600658,bar,true
afisha-msk-pasta-na-solyanke-518533,city_cafe,true
afisha-msk-patriki-495772,restaurant,true
afisha-msk-pentalaunzh-470374,bar,true
afisha-msk-perepel-495860,bar,true
afisha-msk-peshi-347653,restaurant,true
afisha-msk-pesnya-518686,restaurant,true
afisha-msk-petter-496788,bar,true
afisha-msk-phantom-508322,restaurant,true
afisha-msk-piri-piri-bar-495656,bar,true
afisha-msk-pizza-si-484920,restaurant,true
afisha-msk-pomme-verte-1600791,bar,true
afisha-msk-quadrum-259769,restaurant,true
afisha-msk-raw-to-go-briket-market-490730,city_cafe,true
afisha-msk-rebecca-bistro-497413,city_cafe,true
afisha-msk-rebellion-the-home-of-machines-1601486,city_cafe,true
afisha-msk-rebellion-clubhouse-the-palace-of-youth-1601485,city_cafe,true
afisha-msk-restaurant-by-deep-fried-friends-495107,bar,true
afisha-msk-ribambelle-cafe-shop-serdtse-stolitsy-494943,restaurant,true
afisha-msk-riesling-boyz-493644,restaurant,true
afisha-msk-rishon-493403,city_cafe,true
afisha-msk-rizz-1600077,bar,true
afisha-msk-sabor-de-la-vida-48398,restaurant,true
afisha-msk-san-si-1600429,restaurant,true
afisha-msk-sapiens-496685,restaurant,true
afisha-msk-sattva-495121,city_cafe,true
afisha-msk-saviv-496727,restaurant,true
afisha-msk-scrocchiarella-409747,city_cafe,true
afisha-msk-segreto-495014,bar,true
afisha-msk-septa-494278,bar,true
afisha-msk-share-493484,city_cafe,true
afisha-msk-she-493719,restaurant,true
afisha-msk-she-497402,restaurant,true
afisha-msk-shevol-496184,restaurant,true
afisha-msk-shiba-410880,restaurant,true
afisha-msk-siberia-519061,restaurant,true
afisha-msk-simach-v-nedalnem-493261,restaurant,true
afisha-msk-smash-point-1600890,city_cafe,true
afisha-msk-soma-496579,restaurant,true
afisha-msk-soul-in-the-bowl-455638,city_cafe,true
afisha-msk-stim-coffee-493725,coffee,true
afisha-msk-substance-1600657,city_cafe,true
afisha-msk-subzero-493230,restaurant,true
afisha-msk-sugar-bistro-1601028,restaurant,true
afisha-msk-summer-punch-1600847,bar,true
afisha-msk-supernova-486267,city_cafe,true
afisha-msk-taam-hummus-494688,city_cafe,true
afisha-msk-tacobar-494320,restaurant,true
afisha-msk-tajiri-508251,restaurant,true
afisha-msk-lobby-lounge-bar-36672,bar,true
afisha-msk-the-dubliner-pub-457941,bar,true
afisha-msk-the-greeks-497090,restaurant,true
afisha-msk-the-left-bank-351845,bar,true
afisha-msk-the-nest-492103,bar,true
afisha-msk-the-rink-492995,city_cafe,true
afisha-msk-to-mi-1600105,bar,true
afisha-msk-trolly-kids-1600282,city_cafe,true
afisha-msk-trompette-1601023,restaurant,true
afisha-msk-uchiwa-508252,restaurant,true
afisha-msk-ullu-1600324,restaurant,true
afisha-msk-underdog-493950,bar,true
afisha-msk-urban-winery-1600192,restaurant,true
afisha-msk-vani-407486,restaurant,true
afisha-msk-varvarka-3-496901,restaurant,true
afisha-msk-wu-shu-518706,restaurant,true
afisha-msk-white-496455,restaurant,true
afisha-msk-yumbaker-454951,city_cafe,true
afisha-msk-eleven-meathouse-488746,restaurant,true
afisha-msk-zoe-518529,coffee,true
afisha-msk-zotman-pizza-490866,city_cafe,true
afisha-msk-abu-gosh-494299,city_cafe,true
afisha-msk-avtomoyka-veladora-1600140,bar,true
afisha-msk-aivani-1600595,restaurant,true
afisha-msk-alenka-508047,restaurant,true
afisha-msk-alesha-i-grafin-495081,restaurant,true
afisha-msk-alkobufet-riumka-484533,restaurant,true
afisha-msk-alkobufet-shashlychnaia-493406,restaurant,true
afisha-msk-anna-varenina-1600976,city_cafe,true
afisha-msk-antipa-493357,coffee,true
afisha-msk-apartamenty-1600803,bar,true
afisha-msk-afina-518524,restaurant,true
afisha-msk-bakinskii-dvorik-37249,restaurant,true
afisha-msk-barka-489014,bar,true
afisha-msk-bez-retsepta-481446,restaurant,true
afisha-msk-bereg-494854,restaurant,true
afisha-msk-bibirevo-pivo-eda-morozhenoe-494651,restaurant,true
afisha-msk-bitok-1600094,bar,true
afisha-msk-bogema-1600745,bar,true
afisha-msk-vadvare-494634,restaurant,true
afisha-msk-varshavskii-48343,bar,true
afisha-msk-venakhi-314445,restaurant,true
afisha-msk-vesna-470349,restaurant,true
afisha-msk-vinaga-495192,bar,true
afisha-msk-vinnyi-bazar-na-petrovskom-349618,bar,true
afisha-msk-vinovnye-1601592,bar,true
afisha-msk-vishnevyi-sad-495078,restaurant,true
afisha-msk-vkus-ognya-1600979,restaurant,true
afisha-msk-voda-374973,bar,true
afisha-msk-vsio-len-495498,city_cafe,true
afisha-msk-gastrodacha-vselug-508211,restaurant,true
afisha-msk-gorbufet-pelmennaya-496629,city_cafe,true
afisha-msk-gorbufet-shashlychnaya-518996,city_cafe,true
afisha-msk-gruzinskoe-podvore-518635,city_cafe,true
afisha-msk-david-tlv-food-bar-497279,bar,true
afisha-msk-dacha-gasheka-496170,bar,true
afisha-msk-dvoyka-1600191,bar,true
afisha-msk-dvoinaia-zhizn-veroniki-495283,bar,true
afisha-msk-debyut-1600903,bar,true
afisha-msk-degustatsionniy-tsentr-glavvino-507810,restaurant,true
afisha-msk-dezhurnaia-riumochnaia-481925,restaurant,true
afisha-msk-domik-v-sadu-496589,restaurant,true
afisha-msk-dorozhka-1600095,restaurant,true
afisha-msk-enot-i-kryzhovnik-1600281,city_cafe,true
afisha-msk-zhar-ptitsa-519059,restaurant,true
afisha-msk-zinziver-457071,bar,true
afisha-msk-izraztsy-518632,city_cafe,true
afisha-msk-inta-508246,bar,true
afisha-msk-intelligentsiia-494302,restaurant,true
afisha-msk-iona-1601415,coffee,true
afisha-msk-ispanskii-styd-488491,bar,true
afisha-msk-kabinet-314-486834,bar,true
afisha-msk-kitaiskie-novosti-350116,restaurant,true
afisha-msk-klava-456622,bar,true
afisha-msk-klub-495084,bar,true
afisha-msk-knorozov-bar-494322,bar,true
afisha-msk-kom-495033,restaurant,true
afisha-msk-kong-1600999,restaurant,true
afisha-msk-kosmos-485319,city_cafe,true
afisha-msk-kotelnaia-470591,bar,true
afisha-msk-bazar-mangal-493752,restaurant,true
afisha-msk-krivokolenniy-9s3-507622,bar,true
afisha-msk-kuznetskiy-most-1600133,restaurant,true
afisha-msk-lado-488576,bar,true
afisha-msk-legendar-1600754,bar,true
afisha-msk-lima-486253,bar,true
afisha-msk-magadan-na-krasnom-oktiabre-442552,restaurant,true
afisha-msk-mama-tuta-493092,restaurant,true
afisha-msk-mama-budet-rada-di-giacomo-lombardi-456623,city_cafe,true
afisha-msk-mariia-santa-493291,city_cafe,true
afisha-msk-mashenka-1601240,restaurant,true
afisha-msk-monastyrskaya-trapeza-518631,restaurant,true
afisha-msk-moskva-1600700,restaurant,true
afisha-msk-moskovskii-bar-290589,bar,true
afisha-msk-mokh-volna-455640,city_cafe,true
afisha-msk-nauka-i-zhizn-494731,bar,true
afisha-msk-nedalniy-vostok-518772,restaurant,true
